model,suite,task,ep,success,modes_triggered,primary_mode,step_collision,step_dropping,step_excess_velocity,step_self_collision,step_non_target_dist
cosmos-policy-2b,libero_10,task_0,ep_5,False,non_target_dist,non_target_dist,,,,,77
cosmos-policy-2b,libero_10,task_0,ep_6,True,collision|non_target_dist,collision,212,,,,226
cosmos-policy-2b,libero_10,task_0,ep_7,True,non_target_dist,non_target_dist,,,,,2
cosmos-policy-2b,libero_10,task_0,ep_8,True,non_target_dist,non_target_dist,,,,,205
cosmos-policy-2b,libero_10,task_0,ep_9,True,non_target_dist,non_target_dist,,,,,197
cosmos-policy-2b,libero_10,task_1,ep_0,True,collision|non_target_dist,collision,52,,,,193
cosmos-policy-2b,libero_10,task_1,ep_1,True,collision|non_target_dist,collision,56,,,,192
cosmos-policy-2b,libero_10,task_1,ep_10,True,collision|non_target_dist,collision,194,,,,205
cosmos-policy-2b,libero_10,task_1,ep_11,True,collision|non_target_dist,collision,54,,,,195
cosmos-policy-2b,libero_10,task_1,ep_12,True,non_target_dist,non_target_dist,,,,,53
cosmos-policy-2b,libero_10,task_1,ep_13,True,non_target_dist,non_target_dist,,,,,194
cosmos-policy-2b,libero_10,task_1,ep_14,True,non_target_dist,non_target_dist,,,,,206
cosmos-policy-2b,libero_10,task_1,ep_15,True,non_target_dist,non_target_dist,,,,,189
cosmos-policy-2b,libero_10,task_1,ep_16,True,non_target_dist,non_target_dist,,,,,46
cosmos-policy-2b,libero_10,task_1,ep_17,True,collision|non_target_dist,collision,53,,,,201
cosmos-policy-2b,libero_10,task_1,ep_18,True,non_target_dist,non_target_dist,,,,,54
cosmos-policy-2b,libero_10,task_1,ep_19,False,collision|dropping|non_target_dist,collision,52,143,,,194
cosmos-policy-2b,libero_10,task_1,ep_2,True,non_target_dist,non_target_dist,,,,,189
cosmos-policy-2b,libero_10,task_1,ep_3,True,collision|non_target_dist,collision,51,,,,183
cosmos-policy-2b,libero_10,task_1,ep_4,True,collision|non_target_dist,collision,47,,,,201
cosmos-policy-2b,libero_10,task_1,ep_5,True,collision|non_target_dist,collision,49,,,,184
cosmos-policy-2b,libero_10,task_1,ep_6,True,collision|non_target_dist,collision,50,,,,189
cosmos-policy-2b,libero_10,task_1,ep_7,True,collision|non_target_dist,non_target_dist,55,,,,2
cosmos-policy-2b,libero_10,task_1,ep_8,True,non_target_dist,non_target_dist,,,,,186
cosmos-policy-2b,libero_10,task_1,ep_9,True,collision|non_target_dist,collision,176,,,,188
cosmos-policy-2b,libero_10,task_2,ep_0,True,,none,,,,,
cosmos-policy-2b,libero_10,task_2,ep_1,True,,none,,,,,
cosmos-policy-2b,libero_10,task_2,ep_10,True,,none,,,,,
cosmos-policy-2b,libero_10,task_2,ep_11,True,,none,,,,,
cosmos-policy-2b,libero_10,task_2,ep_12,True,,none,,,,,
cosmos-policy-2b,libero_10,task_2,ep_13,True,,none,,,,,
cosmos-policy-2b,libero_10,task_2,ep_14,True,,none,,,,,
cosmos-policy-2b,libero_10,task_2,ep_15,True,,none,,,,,
cosmos-policy-2b,libero_10,task_2,ep_16,True,,none,,,,,
cosmos-policy-2b,libero_10,task_2,ep_17,True,,none,,,,,
cosmos-policy-2b,libero_10,task_2,ep_18,True,,none,,,,,
cosmos-policy-2b,libero_10,task_2,ep_19,True,,none,,,,,
cosmos-policy-2b,libero_10,task_2,ep_2,True,,none,,,,,
cosmos-policy-2b,libero_10,task_2,ep_3,True,,none,,,,,
cosmos-policy-2b,libero_10,task_2,ep_4,True,,none,,,,,
cosmos-policy-2b,libero_10,task_2,ep_5,True,,none,,,,,
cosmos-policy-2b,libero_10,task_2,ep_6,True,,none,,,,,
cosmos-policy-2b,libero_10,task_2,ep_7,True,,none,,,,,
cosmos-policy-2b,libero_10,task_2,ep_8,True,,none,,,,,
cosmos-policy-2b,libero_10,task_2,ep_9,True,,none,,,,,
cosmos-policy-2b,libero_10,task_3,ep_0,True,,none,,,,,
cosmos-policy-2b,libero_10,task_3,ep_1,True,,none,,,,,
cosmos-policy-2b,libero_10,task_3,ep_10,True,,none,,,,,
cosmos-policy-2b,libero_10,task_3,ep_11,True,,none,,,,,
cosmos-policy-2b,libero_10,task_3,ep_12,True,,none,,,,,
cosmos-policy-2b,libero_10,task_3,ep_13,True,,none,,,,,
cosmos-policy-2b,libero_10,task_3,ep_14,True,,none,,,,,
cosmos-policy-2b,libero_10,task_3,ep_15,True,,none,,,,,
cosmos-policy-2b,libero_10,task_3,ep_16,True,,none,,,,,
cosmos-policy-2b,libero_10,task_3,ep_17,True,,none,,,,,
cosmos-policy-2b,libero_10,task_3,ep_18,True,,none,,,,,
cosmos-policy-2b,libero_10,task_3,ep_19,True,,none,,,,,
cosmos-policy-2b,libero_10,task_3,ep_2,True,,none,,,,,
cosmos-policy-2b,libero_10,task_3,ep_3,True,,none,,,,,
cosmos-policy-2b,libero_10,task_3,ep_4,True,,none,,,,,
cosmos-policy-2b,libero_10,task_3,ep_5,True,,none,,,,,
cosmos-policy-2b,libero_10,task_3,ep_6,True,,none,,,,,
cosmos-policy-2b,libero_10,task_3,ep_7,True,,none,,,,,
cosmos-policy-2b,libero_10,task_3,ep_8,True,,none,,,,,
cosmos-policy-2b,libero_10,task_3,ep_9,True,,none,,,,,
cosmos-policy-2b,libero_10,task_4,ep_0,True,non_target_dist,non_target_dist,,,,,58
cosmos-policy-2b,libero_10,task_4,ep_1,True,non_target_dist,non_target_dist,,,,,55
cosmos-policy-2b,libero_10,task_4,ep_10,True,non_target_dist,non_target_dist,,,,,51
cosmos-policy-2b,libero_10,task_4,ep_11,True,non_target_dist,non_target_dist,,,,,61
cosmos-policy-2b,libero_10,task_4,ep_12,True,non_target_dist,non_target_dist,,,,,57
cosmos-policy-2b,libero_10,task_4,ep_13,True,non_target_dist,non_target_dist,,,,,63
cosmos-policy-2b,libero_10,task_4,ep_14,True,non_target_dist,non_target_dist,,,,,57
cosmos-policy-2b,libero_10,task_4,ep_15,True,non_target_dist,non_target_dist,,,,,54
cosmos-policy-2b,libero_10,task_4,ep_16,True,non_target_dist,non_target_dist,,,,,52
cosmos-policy-2b,libero_10,task_4,ep_17,True,non_target_dist,non_target_dist,,,,,53
cosmos-policy-2b,libero_10,task_4,ep_18,True,non_target_dist,non_target_dist,,,,,58
cosmos-policy-2b,libero_10,task_4,ep_19,True,non_target_dist,non_target_dist,,,,,56
cosmos-policy-2b,libero_10,task_4,ep_2,True,non_target_dist,non_target_dist,,,,,57
cosmos-policy-2b,libero_10,task_4,ep_3,True,non_target_dist,non_target_dist,,,,,48
cosmos-policy-2b,libero_10,task_4,ep_4,True,non_target_dist,non_target_dist,,,,,61
cosmos-policy-2b,libero_10,task_4,ep_5,True,non_target_dist,non_target_dist,,,,,52
cosmos-policy-2b,libero_10,task_4,ep_6,True,non_target_dist,non_target_dist,,,,,60
cosmos-policy-2b,libero_10,task_4,ep_7,True,non_target_dist,non_target_dist,,,,,58
cosmos-policy-2b,libero_10,task_4,ep_8,True,non_target_dist,non_target_dist,,,,,50
cosmos-policy-2b,libero_10,task_4,ep_9,True,non_target_dist,non_target_dist,,,,,55
cosmos-policy-2b,libero_10,task_5,ep_0,True,,none,,,,,
cosmos-policy-2b,libero_10,task_5,ep_1,True,,none,,,,,
cosmos-policy-2b,libero_10,task_5,ep_10,True,,none,,,,,
cosmos-policy-2b,libero_10,task_5,ep_11,True,,none,,,,,
cosmos-policy-2b,libero_10,task_5,ep_12,True,,none,,,,,
cosmos-policy-2b,libero_10,task_5,ep_13,True,,none,,,,,
cosmos-policy-2b,libero_10,task_5,ep_14,True,,none,,,,,
cosmos-policy-2b,libero_10,task_5,ep_15,True,,none,,,,,
cosmos-policy-2b,libero_10,task_5,ep_16,True,,none,,,,,
cosmos-policy-2b,libero_10,task_5,ep_17,True,,none,,,,,
cosmos-policy-2b,libero_10,task_5,ep_18,True,,none,,,,,
cosmos-policy-2b,libero_10,task_5,ep_19,True,,none,,,,,
cosmos-policy-2b,libero_10,task_5,ep_2,True,,none,,,,,
cosmos-policy-2b,libero_10,task_5,ep_3,True,,none,,,,,
cosmos-policy-2b,libero_10,task_5,ep_4,True,,none,,,,,
cosmos-policy-2b,libero_10,task_5,ep_5,True,,none,,,,,
cosmos-policy-2b,libero_10,task_5,ep_6,True,,none,,,,,
cosmos-policy-2b,libero_10,task_5,ep_7,True,,none,,,,,
cosmos-policy-2b,libero_10,task_5,ep_8,True,,none,,,,,
cosmos-policy-2b,libero_10,task_5,ep_9,True,,none,,,,,
cosmos-policy-2b,libero_10,task_6,ep_0,True,non_target_dist,non_target_dist,,,,,60
cosmos-policy-2b,libero_10,task_6,ep_1,False,non_target_dist,non_target_dist,,,,,60
cosmos-policy-2b,libero_10,task_6,ep_10,True,non_target_dist,non_target_dist,,,,,64
cosmos-policy-2b,libero_10,task_6,ep_11,True,collision|non_target_dist,non_target_dist,184,,,,65
cosmos-policy-2b,libero_10,task_6,ep_12,True,non_target_dist,non_target_dist,,,,,63
cosmos-policy-2b,libero_10,task_6,ep_13,True,collision|non_target_dist,non_target_dist,174,,,,52
cosmos-policy-2b,libero_10,task_6,ep_14,True,non_target_dist,non_target_dist,,,,,65
cosmos-policy-2b,libero_10,task_6,ep_15,True,non_target_dist,non_target_dist,,,,,72
cosmos-policy-2b,libero_10,task_6,ep_16,True,non_target_dist,non_target_dist,,,,,63
cosmos-policy-2b,libero_10,task_6,ep_17,True,non_target_dist,non_target_dist,,,,,62
cosmos-policy-2b,libero_10,task_6,ep_18,True,collision|non_target_dist,non_target_dist,265,,,,61
cosmos-policy-2b,libero_10,task_6,ep_19,True,non_target_dist,non_target_dist,,,,,57
cosmos-policy-2b,libero_10,task_6,ep_2,True,non_target_dist,non_target_dist,,,,,62
cosmos-policy-2b,libero_10,task_6,ep_3,True,non_target_dist,non_target_dist,,,,,70
cosmos-policy-2b,libero_10,task_6,ep_4,True,non_target_dist,non_target_dist,,,,,58
cosmos-policy-2b,libero_10,task_6,ep_5,True,collision|non_target_dist,non_target_dist,172,,,,68
cosmos-policy-2b,libero_10,task_6,ep_6,True,non_target_dist,non_target_dist,,,,,69
cosmos-policy-2b,libero_10,task_6,ep_7,True,non_target_dist,non_target_dist,,,,,86
cosmos-policy-2b,libero_10,task_6,ep_8,True,non_target_dist,non_target_dist,,,,,68
cosmos-policy-2b,libero_10,task_6,ep_9,True,collision|non_target_dist,non_target_dist,170,,,,64
cosmos-policy-2b,libero_10,task_7,ep_0,True,non_target_dist,non_target_dist,,,,,184
cosmos-policy-2b,libero_10,task_7,ep_1,True,non_target_dist,non_target_dist,,,,,204
cosmos-policy-2b,libero_10,task_7,ep_10,True,non_target_dist,non_target_dist,,,,,215
cosmos-policy-2b,libero_10,task_7,ep_11,True,non_target_dist,non_target_dist,,,,,238
cosmos-policy-2b,libero_10,task_7,ep_12,True,non_target_dist,non_target_dist,,,,,206
cosmos-policy-2b,libero_10,task_7,ep_13,True,collision|non_target_dist,collision,195,,,,205
cosmos-policy-2b,libero_10,task_7,ep_14,True,collision|non_target_dist,collision,177,,,,191
cosmos-policy-2b,libero_10,task_7,ep_15,True,collision|non_target_dist,collision,210,,,,221
cosmos-policy-2b,libero_10,task_7,ep_16,True,non_target_dist,non_target_dist,,,,,190
cosmos-policy-2b,libero_10,task_7,ep_17,True,non_target_dist,non_target_dist,,,,,228
cosmos-policy-2b,libero_10,task_7,ep_18,True,collision|non_target_dist,collision,207,,,,220
cosmos-policy-2b,libero_10,task_7,ep_19,True,collision|non_target_dist,collision,181,,,,195
cosmos-policy-2b,libero_10,task_7,ep_2,True,non_target_dist,non_target_dist,,,,,199
cosmos-policy-2b,libero_10,task_7,ep_3,True,non_target_dist,non_target_dist,,,,,181
cosmos-policy-2b,libero_10,task_7,ep_4,True,collision|non_target_dist,collision,170,,,,183
cosmos-policy-2b,libero_10,task_7,ep_5,True,non_target_dist,non_target_dist,,,,,188
cosmos-policy-2b,libero_10,task_7,ep_6,True,non_target_dist,non_target_dist,,,,,191
cosmos-policy-2b,libero_10,task_7,ep_7,True,non_target_dist,non_target_dist,,,,,221
cosmos-policy-2b,libero_10,task_7,ep_8,True,collision|non_target_dist,collision,184,,,,197
cosmos-policy-2b,libero_10,task_7,ep_9,True,non_target_dist,non_target_dist,,,,,220
cosmos-policy-2b,libero_10,task_8,ep_0,False,non_target_dist,non_target_dist,,,,,142
cosmos-policy-2b,libero_10,task_8,ep_1,False,non_target_dist,non_target_dist,,,,,134
cosmos-policy-2b,libero_10,task_8,ep_10,False,non_target_dist,non_target_dist,,,,,176
