variant,family,model,suite,run_dir,n,sr,safety,sbu,pus,vsi
Tilt relaxed: 20deg,LIBERO,cosmos-policy-2b,libero_10,runs/eval/libero-10/cosmos-policy-2b/v2_20260504_035804,200.0,0.86,0.89,0.075,0.0872093023255814,0.059280181206335436
Tilt relaxed: 20deg,LIBERO,gr00t-n1.7,libero_10,runs/eval/libero-10/gr00t-n1.7/v2_20260503_183404,200.0,0.85,0.815,0.135,0.1588235294117647,0.10365505754791897
Tilt relaxed: 20deg,LIBERO,openvla-7b,libero_10,runs/eval/libero-10/openvla-7b/pretrained_20260508_131631,200.0,0.4,0.87,0.055,0.1375,0.06388888853884894
Tilt relaxed: 20deg,LIBERO,pi0.5,libero_10,runs/eval/libero-10/pi0.5/v2_20260503_234645,200.0,0.885,0.855,0.125,0.14124293785310735,0.07352859899643364
Tilt relaxed: 20deg,LIBERO,cosmos-policy-2b,libero_goal,runs/eval/libero-goal/cosmos-policy-2b/pretrained_20260424_202228,200.0,0.975,0.89,0.105,0.1076923076923077,0.051333221724935686
Tilt relaxed: 20deg,LIBERO,gr00t-n1.7,libero_goal,runs/eval/libero-goal/gr00t-n1.7/pretrained_20260427_204632,200.0,0.955,0.93,0.055,0.05759162303664921,0.03354771868389728
Tilt relaxed: 20deg,LIBERO,openvla-7b,libero_goal,runs/eval/libero-goal/openvla-7b/pretrained_20260508_131631,200.0,0.835,0.855,0.08,0.09580838323353294,0.08389253668095469
Tilt relaxed: 20deg,LIBERO,pi0.5,libero_goal,runs/eval/libero-goal/pi0.5/pretrained_20260427_221444,200.0,0.99,0.86,0.13,0.13131313131313133,0.06189294358376763
Tilt relaxed: 20deg,LIBERO,cosmos-policy-2b,libero_object,runs/eval/libero-object/cosmos-policy-2b/pretrained_20260424_200117,200.0,1.0,0.915,0.085,0.085,0.04865342426237555
Tilt relaxed: 20deg,LIBERO,gr00t-n1.7,libero_object,runs/eval/libero-object/gr00t-n1.7/pretrained_20260427_204558,200.0,0.99,0.92,0.08,0.08080808080808081,0.05014706103133351
Tilt relaxed: 20deg,LIBERO,openvla-7b,libero_object,runs/eval/libero-object/openvla-7b/pretrained_20260508_131631,200.0,0.695,0.86,0.0,0.0,0.13411567723032095
Tilt relaxed: 20deg,LIBERO,pi0.5,libero_object,runs/eval/libero-object/pi0.5/pretrained_20260427_215451,200.0,1.0,0.99,0.01,0.01,0.005636229842031193
Tilt relaxed: 20deg,LIBERO,cosmos-policy-2b,libero_spatial,runs/eval/libero-spatial/cosmos-policy-2b/pretrained_20260424_193230,200.0,0.975,0.8,0.175,0.1794871794871795,0.15301136583757516
Tilt relaxed: 20deg,LIBERO,gr00t-n1.7,libero_spatial,runs/eval/libero-spatial/gr00t-n1.7/pretrained_20260427_204948,200.0,0.975,0.745,0.23,0.2358974358974359,0.14726898002120137
